question,all_answers,dummy_pool
underlying,根本的な,"すばらしい, 矛盾のない、一致した, ～を避ける"
alien,外国の、異質な,"必死の, 明白な、わかりやすい, ～を無視する"
relevant,関連のある,"さわやかな, 鮮やかな, ～を忘れる"
inclined,Ｖする傾向がある、Ｖしたい気がある,"とてもうれしい, 惨めな, ～を避ける"
awkward,気まずい,"内側の, 相当な、多大な, ～を無視する"
brilliant,すばらしい,"矛盾のない、一致した, Aが好きだ, ～を忘れる"
desperate,必死の,"明白な、わかりやすい, まちがいの, ～を避ける"
refreshing,さわやかな,"鮮やかな, 怠惰な, ～を無視する"
thrilled,とてもうれしい,"惨めな, 正確に、まさに、ちょうど, ～を忘れる"
inner,内側の,"相当な、多大な, その間に, ～を避ける"
consistent,矛盾のない、一致した,"Aが好きだ, 完全に, ～を無視する"
plain,明白な、わかりやすい,"まちがいの, 最近, ～を忘れる"
vivid,鮮やかな,"怠惰な, かろうじて, ～を避ける"
miserable,惨めな,"正確に、まさに、ちょうど, ほとんど～ない, ～を無視する"
substantial,相当な、多大な,"その間に, それ相応に, ～を忘れる"
fond,Aが好きだ,"完全に, わざと, ～を避ける"
FALSE,まちがいの,"最近, ～の下で, ～を無視する"
lazy,怠惰な,"かろうじて, ～だが一方, ～を忘れる"
precisely,正確に、まさに、ちょうど,"ほとんど～ない, ～を宣言する, ～を避ける"
meanwhile,その間に,"それ相応に, ～を変える, ～を無視する"
altogether,完全に,"わざと, 生じる, ～を忘れる"
lately,最近,"～の下で, 変える, ～を避ける"
barely,かろうじて,"～だが一方, ～を打ち負かす, ～を無視する"
scarcely,ほとんど～ない,"～を宣言する, ～を調査する, ～を忘れる"
accordingly,それ相応に,"～を変える, ～を見分ける, ～を避ける"
deliberately,わざと,"生じる, ～を埋める, ～を無視する"
beneath,～の下で,"変える, うまく対処する, ～を忘れる"
whereas,～だが一方,"～を打ち負かす, 起こる, ～を避ける"
declare,～を宣言する,"～を調査する, ～をやりとげる, ～を無視する"
alter,～を変える,"～を見分ける, ためらう, ～を忘れる"
arise,生じる,"～を埋める, ～に耐える, ～を避ける"
transform,変える,"うまく対処する, ～と結論づける, ～を無視する"
defeat,～を打ち負かす,"起こる, ～を保証する, ～を忘れる"
investigate,～を調査する,"～をやりとげる, ～を支配する, ～を避ける"
distinguish,～を見分ける,"ためらう, ～を裏付ける, ～を無視する"
bury,～を埋める,"～に耐える, ～にあいさつする, ～を忘れる"
cope,うまく対処する,"～と結論づける, ～を楽しませる, ～を避ける"
occur,起こる,"～を保証する, ～を守る, ～を無視する"
accomplish,～をやりとげる,"～を支配する, ～を禁じる, ～を忘れる"
hesitate,ためらう,"～を裏付ける, ～を放送する, ～を避ける"
endure,～に耐える,"～にあいさつする, ～を犠牲にする, ～を無視する"
conclude,～と結論づける,"～を楽しませる, ～を罰する, ～を忘れる"
guarantee,～を保証する,"～を守る, ちらりと見る, ～を避ける"
dominate,～を支配する,"～を禁じる, ～を保持する, ～を無視する"
confirm,～を裏付ける,"～を放送する, ～を計算する, ～を忘れる"
greet,～にあいさつする,"～を犠牲にする, 沈む, ～を避ける"
entertain,～を楽しませる,"～を罰する, ～を救助する, ～を無視する"
defend,～を守る,"ちらりと見る, ～と乞う, ～を忘れる"
forbid,～を禁じる,"～を保持する, 定義する, ～を避ける"
broadcast,～を放送する,"～を計算する, ～をだます, ～を無視する"
sacrifice,～を犠牲にする,"沈む, ～を伝える, ～を忘れる"
punish,～を罰する,"～を救助する, ～を維持する, ～を避ける"
glance,ちらりと見る,"～と乞う, ～を購入する, ～を無視する"
retain,～を保持する,"定義する, 薄れる, ～を忘れる"
calculate,～を計算する,"～をだます, ～を規制する, ～を避ける"
sinking,沈む,"～を伝える, ～を分配する, ～を無視する"
rescue,～を救助する,"～を維持する, ～を向上させる, ～を忘れる"
beg,～と乞う,"～を購入する, おしゃべりする, ～を避ける"
define,定義する,"薄れる, ～を超える, ～を無視する"
deceive,～をだます,"～を規制する, ～をふく, ～を忘れる"
convey,～を伝える,"～を分配する, 協力する, ～を避ける"
sustain,～を維持する,"～を向上させる, ～を受け継ぐ, ～を無視する"
purchase,～を購入する,"おしゃべりする, ～を団結させる, ～を忘れる"
fade,薄れる,"～を超える, 跳ぶ, ～を避ける"
regulate,～を規制する,"～をふく, ～を誇張する, ～を無視する"
distribute,～を分配する,"協力する, ～を征服する, ～を忘れる"
enhance,～を向上させる,"～を受け継ぐ, 溶ける, ～を避ける"
chat,おしゃべりする,"～を団結させる, ～に侵入する, ～を無視する"
exceed,～を超える,"跳ぶ, ～を修正する, ～を忘れる"
wipe,～をふく,"～を誇張する, ～をばらまく, ～を避ける"
cooperate,協力する,"～を征服する, ～を経験する, ～を無視する"
inherit,～を受け継ぐ,"溶ける, ～を評価する, ～を忘れる"
unite,～を団結させる,"～に侵入する, 身をかがめる, ～を避ける"
leap,跳ぶ,"～を修正する, 由来する, ～を無視する"
exaggerate,～を誇張する,"～をばらまく, 悲鳴をあげる, ～を忘れる"
conquer,～を征服する,"～を経験する, 見つめる, ～を避ける"
melt,溶ける,"～を評価する, 祈る, ～を無視する"
invade,～に侵入する,"身をかがめる, ～を磨く, ～を忘れる"
modify,～を修正する,"由来する, 分類する, ～を避ける"
scatter,～をばらまく,"悲鳴をあげる, ～と主張する, ～を無視する"
undergo,～を経験する,"見つめる, ～をつかむ, ～を忘れる"
evaluate,～を評価する,"祈る, ～を折りたたむ, ～を避ける"
bend,身をかがめる,"～を磨く, ～を掃く, ～を無視する"
derive,由来する,"分類する, ささやく, ～を忘れる"
screaming,悲鳴をあげる,"～と主張する, ～をまねる, ～を避ける"
gaze,見つめる,"～をつかむ, じっと見る, ～を無視する"
pray,祈る,"～を折りたたむ, ～を強調する, ～を忘れる"
polish,～を磨く,"～を掃く, ～を取り除く, ～を避ける"
classify,分類する,"ささやく, ～を注ぐ, ～を無視する"
assert,～と主張する,"～をまねる, 消える, ～を忘れる"
grab,～をつかむ,"じっと見る, ～を修復する, ～を避ける"
fold,～を折りたたむ,"～を強調する, 当然だ, ～を無視する"
sweep,～を掃く,"～を取り除く, 研究所, ～を忘れる"
whisper,ささやく,"～を注ぐ, 会議, ～を避ける"
imitate,～をまねる,"消える, 大陸, ～を無視する"
stare,じっと見る,"～を修復する, 保険, ～を忘れる"
emphasize,～を強調する,"当然だ, 乗組員たち, ～を避ける"
rid,～を取り除く,"研究所, 貧乏, ～を無視する"
pour,～を注ぐ,"会議, 不足, ～を忘れる"
vanish,消える,"大陸, 情勢, ～を避ける"
restore,～を修復する,"保険, 例外, ～を無視する"
deserve,当然だ,"乗組員たち, 賃金, ～を忘れる"
laboratory,研究所,"貧乏, 知恵, ～を避ける"
conference,会議,"不足, 税金, ～を無視する"
continent,大陸,"情勢, 進化, ～を忘れる"
insurance,保険,"例外, 壁, ～を避ける"
crew,乗組員たち,"賃金, 範ちゅう, ～を無視する"
poverty,貧乏,"知恵, 単位, ～を忘れる"
shortage,不足,"税金, 評判, ～を避ける"
affair,情勢,"進化, 美徳, ～を無視する"
exception,例外,"壁, 勇気, ～を忘れる"
wage,賃金,"範ちゅう, 同情, ～を避ける"
wisdom,知恵,"単位, 組合, ～を無視する"
tax,税金,"評判, 文明, ～を忘れる"
evolution,進化,"美徳, 冊, ～を避ける"
barrier,壁,"勇気, 花, ～を無視する"
category,範ちゅう,"同情, 時代, ～を忘れる"
unit,単位,"組合, 紛争, ～を避ける"
reputation,評判,"文明, 観光, ～を無視する"
virtue,美徳,"冊, 人類, ～を忘れる"
courage,勇気,"花, 殺人, ～を避ける"
sympathy,同情,"時代, 風景, ～を無視する"
union,組合,"紛争, 目的地, ～を忘れる"
civilization,文明,"観光, 話, ～を避ける"
volume,冊,"人類, 改革, ～を無視する"
blossom,花,"殺人, 筋肉, ～を忘れる"
era,時代,"風景, 見通し, ～を避ける"
dispute,紛争,"目的地, 企業, ～を無視する"
tourism,観光,"話, 植民地, ～を忘れる"
mankind,人類,"改革, 口論, ～を避ける"
murder,殺人,"筋肉, 職業, ～を無視する"
landscape,風景,"見通し, 側面, ～を忘れる"
destination,目的地,"企業, 休止, ～を避ける"
tale,話,"植民地, 対立, ～を無視する"
reform,改革,"口論, 特権, ～を忘れる"
muscle,筋肉,"職業, 繁栄, ～を避ける"
prospect,見通し,"側面, 天才, ～を無視する"
corporation,企業,"休止, 種, ～を忘れる"
colony,植民地,"対立, 症状, ～を避ける"
quarrel,口論,"特権, 長所, ～を無視する"
profession,職業,"繁栄, 層, ～を忘れる"
aspect,側面,"天才, 手がかり, ～を避ける"
pause,休止,"種, 状況, ～を無視する"
conflict,対立,"症状, 地区, ～を忘れる"
privilege,特権,"長所, 刑務所, ～を避ける"
prosperity,繁栄,"層, 仲間, ～を無視する"
genius,天才,"手がかり, 重役, ～を忘れる"
seed,種,"状況, 正義, ～を避ける"
symptom,症状,"地区, 手続き, ～を無視する"
merit,長所,"刑務所, 光線, ～を忘れる"
layer,層,"仲間, 天国, ～を避ける"
clue,手がかり,"重役, 贅沢, ～を無視する"
circumstances,状況,"正義, 酸素, ～を忘れる"
district,地区,"手続き, 資金, ～を避ける"
prison,刑務所,"光線, 主題、テーマ, ～を無視する"
companion,仲間,"天国, 境界, ～を忘れる"
executive,重役,"贅沢, 熱望, ～を避ける"
Justice,正義,"酸素, 予報, ～を無視する"
procedure,手続き,"資金, 心理学, ～を忘れる"
ray,光線,"主題、テーマ, 労働, ～を避ける"
heaven,天国,"境界, 委員会, ～を無視する"
luxury,贅沢,"熱望, 医者, ～を忘れる"
oxygen,酸素,"予報, 哲学, ～を避ける"
fund,資金,"心理学, 愛情, ～を無視する"
theme,主題、テーマ,"労働, 候補, ～を忘れる"
boundary,境界,"委員会, 爆弾, ～を避ける"
ambition,熱望,"医者, 優先, ～を無視する"
forecast,予報,"哲学, 障害, ～を忘れる"
psychology,心理学,"愛情, 食欲, ～を避ける"
labor,労働,"候補, 緊張, ～を無視する"
committee,委員会,"爆弾, 部族, ～を忘れる"
physician,医者,"優先, 予算, ～を避ける"
philosophy,哲学,"障害, 運動、キャンペーン, ～を無視する"
affection,愛情,"食欲, 悲しみ, ～を忘れる"
candidate,候補,"緊張, 衛星, ～を避ける"
bomb,爆弾,"部族, 洞察, ～を無視する"
priority,優先,"予算, せき, ～を忘れる"
obstacle,障害,"運動、キャンペーン, 運命, ～を避ける"
appetite,食欲,"悲しみ, 計画, ～を無視する"
tension,緊張,"衛星, 侮辱, ～を忘れる"
tribe,部族,"洞察, 住民, ～を避ける"
budget,予算,"せき, 化石, ～を無視する"
campaign,運動、キャンペーン,"運命, 動機, ～を忘れる"
sorrow,悲しみ,"計画, 本能, ～を避ける"
satellite,衛星,"侮辱, 伝説, ～を無視する"
insight,洞察,"住民, 帝国, ～を忘れる"
cough,せき,"化石, 郊外, ～を避ける"
fate,運命,"動機, 建築, ～を無視する"
scheme,計画,"本能, 情熱, ～を忘れる"
insult,侮辱,"伝説, ガン, ～を避ける"
inhabitant,住民,"帝国, 論理, ～を無視する"
fossil,化石,"郊外, ダース, ～を忘れる"
motive,動機,"建築, 収穫, ～を避ける"
instinct,本能,"情熱, 材料, ～を無視する"
legend,伝説,"ガン, 仮説, ～を忘れる"
empire,帝国,"論理, 航海, ～を避ける"
suburb,郊外,"ダース, 編集者, ～を無視する"
architecture,建築,"収穫, 選択の自由, ～を忘れる"
passion,情熱,"材料, 半球, ～を避ける"
cancer,ガン,"仮説, 仕組み, ～を無視する"
logic,論理,"航海, 人類学者, ～を忘れる"
dozen,ダース,"編集者, 悲劇, ～を避ける"
harvest,収穫,"選択の自由, 抗生物質, ～を無視する"
ingredient,材料,"半球, 運賃, ～を忘れる"
hypothesis,仮説,"仕組み, 借金, ～を避ける"
voyage,航海,"人類学者, 教育課程, ～を無視する"
editor,編集者,"悲劇, 構成要素, ～を忘れる"
option,選択の自由,"抗生物質, 小麦, ～を避ける"
hemisphere,半球,"運賃, 語法, ～を無視する"
mechanism,仕組み,"借金, 城, ～を忘れる"
anthropologist,人類学者,"教育課程, 飢饉, ～を避ける"
tragedy,悲劇,"構成要素, 絶滅, ～を無視する"
antibiotic,抗生物質,"小麦, 財布, ～を忘れる"
fare,運賃,"語法, 民族, ～を避ける"
debt,借金,"城, 爆発, ～を無視する"
curriculum,教育課程,"飢饉, 部分, ～を忘れる"
component,構成要素,"絶滅, 生物, ～を避ける"
wheat,小麦,"財布, 商人, ～を無視する"
usage,語法,"民族, 神話, ～を忘れる"
castle,城,"爆発, 出来事, ～を避ける"
famine,飢饉,"部分, 野生生物, ～を無視する"
extinction,絶滅,"生物, 議会, ～を忘れる"
purse,財布,"商人, 湾, ～を避ける"
folk,民族,"神話, 刑, ～を無視する"
explosion,爆発,"出来事, 遺産, ～を忘れる"
portion,部分,"野生生物, 多様性, ～を避ける"
organism,生物,"議会, 親指, ～を無視する"
merchant,商人,"湾, 地理, ～を忘れる"
myth,神話,"刑, 要因, ～を避ける"
incident,出来事,"遺産, 差別, ～を無視する"
wildlife,野生生物,"多様性, ウイルス, ～を忘れる"
congress,議会,"親指, 像, ～を避ける"
bay,湾,"地理, 神父, ～を無視する"
penalty,刑,"要因, 先駆者, ～を忘れる"
heritage,遺産,"差別, 特徴, ～を避ける"
diversity,多様性,"ウイルス, きずな, ～を無視する"
thumb,親指,"像, 食料品, ～を忘れる"
geography,地理,"神父, 秘書, ～を避ける"
factor,要因,"先駆者, 方言, ～を無視する"
discrimination,差別,"特徴, 天文学, ～を忘れる"
virus,ウイルス,"きずな, 子供, ～を避ける"
statue,像,"食料品, 物質, ～を無視する"
priest,神父,"秘書, 発見, ～を忘れる"
pioneer,先駆者,"方言, 戦略, ～を避ける"
trait,特徴,"天文学, 肺, ～を無視する"
bond,きずな,"子供, 敵, ～を忘れる"
grocery,食料品,"物質, 儀式, ～を避ける"
secretary,秘書,"発見, 結果, ～を無視する"
dialect,方言,"戦略, 環境保護, ～を忘れる"
astronomy,天文学,"肺, 哺乳類, ～を避ける"
youngster,子供,"敵, 望遠鏡, ～を無視する"
substance,物質,"儀式, 難民, ～を忘れる"
finding,発見,"結果, 規則, ～を避ける"
strategy,戦略,"環境保護, 風味, ～を無視する"
lung,肺,"哺乳類, 粒子, ～を忘れる"
opponent,敵,"望遠鏡, 看護, ～を避ける"
ritual,儀式,"難民, 自殺, ～を無視する"
outcome,結果,"規則, 生息地, ～を忘れる"
conservation,環境保護,"風味, いじめ, ～を避ける"
mammal,哺乳類,"粒子, 恐竜, ～を無視する"
telescope,望遠鏡,"看護, 議会, ～を忘れる"
refugee,難民,"自殺, 性別, ～を避ける"
code,規則,"生息地, 手術, ～を無視する"
flavor,風味,"いじめ, 革新, ～を忘れる"
particle,粒子,"恐竜, タンパク質, ～を避ける"
nursing,看護,"議会, 栄養, ～を無視する"
suicide,自殺,"性別, 災害, ～を忘れる"
habitat,生息地,"手術, 排出, ～を避ける"
bullying,いじめ,"革新, 類人猿, ～を無視する"
dinosaur,恐竜,"タンパク質, 分子, ～を忘れる"
council,議会,"栄養, 汗, ～を避ける"
gender,性別,"災害, 移植, ～を無視する"
surgery,手術,"排出, 種, ～を忘れる"
innovation,革新,"類人猿, 先, ～を避ける"
protein,タンパク質,"分子, 牛, ～を無視する"
nutrition,栄養,"汗, 密度, ～を忘れる"
disaster,災害,"移植, 概念, ～を避ける"
emission,排出,"種, 青白い, ～を無視する"
ape,類人猿,"先, 貴重な, ～を忘れる"
molecule,分子,"牛, 忠実な, ～を避ける"
sweat,汗,"密度, 孤立している, ～を無視する"
transplant,移植,"概念, 気前のよい, ～を忘れる"
species,種,"青白い, 熱帯, ～を避ける"
tip,先,"貴重な, したがらない, ～を無視する"
cattle,牛,"忠実な, 漠然とした, ～を忘れる"
density,密度,"孤立している, 広大な, ～を避ける"
concept,概念,"気前のよい, たくさんの, ～を無視する"
pale,青白い,"熱帯, 田舎の, ～を忘れる"
precious,貴重な,"したがらない, 広まっている, ～を避ける"
loyal,忠実な,"漠然とした, 複雑な, ～を無視する"
isolated,孤立している,"広大な, 目に見える, ～を忘れる"
generous,気前のよい,"たくさんの, 生の, ～を避ける"
tropical,熱帯,"田舎の, へんぴな, ～を無視する"
reluctant,したがらない,"広まっている, 緊急の, ～を忘れる"
vague,漠然とした,"複雑な, ばかな, ～を避ける"
vast,広大な,"目に見える, いちじるしい, ～を無視する"
numerous,たくさんの,"生の, 十分な, ～を忘れる"
rural,田舎の,"へんぴな, 並外れた, ～を避ける"
widespread,広まっている,"緊急の, おかしな, ～を無視する"
complicated,複雑な,"ばかな, 抽象的な, ～を忘れる"
visible,目に見える,"いちじるしい, 相互の, ～を避ける"
raw,生の,"十分な, 過度の, ～を無視する"
remote,へんぴな,"並外れた, 恥ずかしい, ～を忘れる"
urgent,緊急の,"おかしな, とてつもない, ～を避ける"
silly,ばかな,"抽象的な, 避けられない, ～を無視する"
striking,いちじるしい,"相互の, 純, ～を忘れる"
adequate,十分な,"過度の, 安定した, ～を避ける"
extraordinary,並外れた,"恥ずかしい, 無関心だ, ～を無視する"
odd,おかしな,"とてつもない, 攻撃的な, ～を忘れる"
abstract,抽象的な,"避けられない, 究極の, ～を避ける"
mutual,相互の,"純, 内気な, ～を無視する"
excessive,過度の,"安定した, 太陽, ～を忘れる"
ashamed,恥ずかしい,"無関心だ, 深い, ～を避ける"
tremendous,とてつもない,"攻撃的な, 微妙な, ～を無視する"
inevitable,避けられない,"究極の, 保守, ～を忘れる"
pure,純,"内気な, 勇敢な, ～を避ける"
stable,安定した,"太陽, 強烈な, ～を無視する"
indifferent,無関心だ,"深い, アルコールの, ～を忘れる"
aggressive,攻撃的な,"微妙な, 手を使う, ～を避ける"
ultimate,究極の,"保守, 残酷な, ～を無視する"
shy,内気な,"勇敢な, 理性的な, ～を忘れる"
solar,太陽,"強烈な, 最初の, ～を避ける"
profound,深い,"アルコールの, 免疫, ～を無視する"
subtle,微妙な,"手を使う, 言語の, ～を忘れる"
conservative,保守,"残酷な, 重大な, ～を避ける"
brave,勇敢な,"理性的な, 言葉による, ～を無視する"
intense,強烈な,"最初の, 楽観的な, ～を忘れる"
alcoholic,アルコールの,"免疫, 柔軟な, ～を避ける"
manual,手を使う,"言語の, 感謝している, ～を無視する"
cruel,残酷な,"重大な, 生き生きとした, ～を忘れる"
rational,理性的な,"言葉による, 圧倒的な, ～を避ける"
initial,最初の,"楽観的な, 豊富な, ～を無視する"
immune,免疫,"柔軟な, 利己的な, ～を忘れる"
linguistic,言語の,"感謝している, みにくい, ～を避ける"
crucial,重大な,"生き生きとした, 人種の, ～を無視する"
verbal,言葉による,"圧倒的な, 有名な, ～を忘れる"
optimistic,楽観的な,"豊富な, 物議を呼ぶ, ～を避ける"
flexible,柔軟な,"利己的な, 連邦の, ～を無視する"
grateful,感謝している,"みにくい, ばかげた, ～を忘れる"
lively,生き生きとした,"人種の, 架空の, ～を避ける"
overwhelming,圧倒的な,"有名な, 厳しい, ～を無視する"
abundant,豊富な,"物議を呼ぶ, 無作為な, ～を忘れる"
selfish,利己的な,"連邦の, 思春期の, ～を避ける"
ugly,みにくい,"ばかげた, 最新の, ～を無視する"
racial,人種の,"架空の, 自由主義の, ～を忘れる"
prominent,有名な,"厳しい, 前の, ～を避ける"
controversial,物議を呼ぶ,"無作為な, 適度な, ～を無視する"
federal,連邦の,"思春期の, 流ちょうな, ～を忘れる"
ridiculous,ばかげた,"最新の, 手の込んだ, ～を避ける"
imaginary,架空の,"自由主義の, 信じられない, ～を無視する"
harsh,厳しい,"前の, 根本的な, ～を忘れる"
random,無作為な,"適度な, 酸性の, ～を避ける"
adolescent,思春期の,"流ちょうな, 耳が不自由な, ～を無視する"
up-to-date,最新の,"手の込んだ, 中世の, ～を忘れる"
liberal,自由主義の,"信じられない, 生態, ～を避ける"
prior,前の,"根本的な, 少しの, ～を無視する"
moderate,適度な,"酸性の, 無知な, ～を忘れる"
fluent,流ちょうな,"耳が不自由な, 認知, ～を避ける"
elaborate,手の込んだ,"中世の, 絶対に, ～を無視する"
incredible,信じられない,"生態, ほとんど, ～を忘れる"
radical,根本的な,"少しの, 多少, ～を避ける"
acid,酸性の,"無知な, 単に, ～を無視する"
deaf,耳が不自由な,"認知, 文字通り, ～を忘れる"
medieval,中世の,"絶対に, 一見, ～を避ける"
ecological,生態,"ほとんど, 関係なく, ～を無視する"
slight,少しの,"多少, 徹底的に, ～を忘れる"
ignorant,無知な,"単に, Aに服従する、提出する, ～を避ける"
cognitive,認知,"文字通り, 誘惑する、する気にさせる, ～を無視する"
absolutely,絶対に,"一見, 辞職する, ～を忘れる"
virtually,ほとんど,"関係なく, 従う, ～を避ける"
somewhat,多少,"徹底的に, 限定する, ～を無視する"
merely,単に,"Aに服従する、提出する, 組み立てる, ～を忘れる"
literally,文字通り,"誘惑する、する気にさせる, ささげる, ～を避ける"
seemingly,一見,"辞職する, 主張する, ～を無視する"
regardless,関係なく,"従う, 繁栄する, ～を忘れる"
thoroughly,徹底的に,"限定する, 引き起こす, ～を避ける"
submit,Aに服従する、提出する,"組み立てる, 命じる、要求する、決定する, ～を無視する"
tempt,誘惑する、する気にさせる,"ささげる, 利用する、開発する, ～を忘れる"
resign,辞職する,"主張する, 降伏する, ～を避ける"
conform,従う,"繁栄する, 再生する、複製する、繁殖する[させる], ～を無視する"
confine,限定する,"引き起こす, 認める, ～を忘れる"
assemble,組み立てる,"命じる、要求する、決定する, ふくらむ, ～を避ける"
dedicate,ささげる,"利用する、開発する, 落とす, ～を無視する"
advocate,主張する,"降伏する, 曲がる, ～を忘れる"
thrive,繁栄する,"再生する、複製する、繁殖する[させる], 引き合いに出す, ～を避ける"
provoke,引き起こす,"認める, 消化する, ～を無視する"
dictate,命じる、要求する、決定する,"ふくらむ, とばす、抜かす, ～を忘れる"
exploit,利用する、開発する,"落とす, 縛る、束縛する, ～を避ける"
surrender,降伏する,"曲がる, 溶解する, ～を無視する"
reproduce,再生する、複製する、繁殖する[させる],"引き合いに出す, 実行する, ～を忘れる"
acknowledge,認める,"消化する, 操縦する, ～を避ける"
swell,ふくらむ,"とばす、抜かす, 祝福する, ～を無視する"
shed,落とす,"縛る、束縛する, 指定する, ～を忘れる"
wind,曲がる,"溶解する, 破る、違反する, ～を避ける"
cite,引き合いに出す,"実行する, 推定する、思う, ～を無視する"
digest,消化する,"操縦する, （新人を）入れる, ～を忘れる"
skip,とばす、抜かす,"祝福する, 同時に起きる、重なる, ～を避ける"
bind,縛る、束縛する,"指定する, 施行する, ～を無視する"
dissolve,溶解する,"破る、違反する, とってかわる、故郷から追い出す, ～を忘れる"
implement,実行する,"推定する、思う, 縮む、縮ませる、減る, ～を避ける"
steer,操縦する,"（新人を）入れる, 裏切る、もらす, ～を無視する"
congratulate,祝福する,"同時に起きる、重なる, 構成される、構成する、占める, ～を忘れる"
designate,指定する,"施行する, ふける, ～を避ける"
violate,破る、違反する,"とってかわる、故郷から追い出す, 入り込む, ～を無視する"
presume,推定する、思う,"縮む、縮ませる、減る, 壊滅させる, ～を忘れる"
recruit,（新人を）入れる,"裏切る、もらす, 突っ込む, ～を避ける"
coincide,同時に起きる、重なる,"構成される、構成する、占める, はね返る, ～を無視する"
enforce,施行する,"ふける, 矛盾する, ～を忘れる"
displace,とってかわる、故郷から追い出す,"入り込む, 処方する, ～を避ける"
shrink,縮む、縮ませる、減る,"壊滅させる, しいたげる, ～を無視する"
betray,裏切る、もらす,"突っ込む, 胸に抱く, ～を忘れる"
comprise,構成される、構成する、占める,"はね返る, 照らす、解明する, ～を避ける"
indulge,ふける,"矛盾する, きっかけになる, ～を無視する"
penetrate,入り込む,"処方する, 通勤する、通学する, ～を忘れる"
devastate,壊滅させる,"しいたげる, 誘う, ～を避ける"
plunge,突っ込む,"胸に抱く, 利用する, ～を無視する"
bounce,はね返る,"照らす、解明する, ポキンと折れる、ポキンと折る, ～を忘れる"
contradict,矛盾する,"きっかけになる, 提供する, ～を避ける"
prescribe,処方する,"通勤する、通学する, （卵?ヒナ）かえす、かえる, ～を無視する"
oppress,しいたげる,"誘う, 囲む, ～を忘れる"
cherish,胸に抱く,"利用する, 普及している、広まる, ～を避ける"
illuminate,照らす、解明する,"ポキンと折れる、ポキンと折る, ため息をつく, ～を無視する"
trigger,きっかけになる,"提供する, 漏れる、漏らす, ～を忘れる"
commute,通勤する、通学する,"（卵?ヒナ）かえす、かえる, 強制する, ～を避ける"
induce,誘う,"囲む, 押しつぶす, ～を無視する"
utilize,利用する,"普及している、広まる, 理解する, ～を忘れる"
snap,ポキンと折れる、ポキンと折る,"ため息をつく, 交渉する, ～を避ける"
donate,提供する,"漏れる、漏らす, 持続する、残る, ～を無視する"
hatch,（卵?ヒナ）かえす、かえる,"強制する, 増やす、増える、掛ける, ～を忘れる"
enclose,囲む,"押しつぶす, 想像する, ～を避ける"
prevail,普及している、広まる,"理解する, 埋め合わせる, ～を無視する"
sigh,ため息をつく,"交渉する, 中止する、つるす, ～を忘れる"
leak,漏れる、漏らす,"持続する、残る, かきたてる, ～を避ける"
compel,強制する,"増やす、増える、掛ける, 浸す、びしょぬれにする、吸収する, ～を無視する"
crush,押しつぶす,"想像する, 洗練する、磨きをかける, ～を忘れる"
comprehend,理解する,"埋め合わせる, 刺激する、かき立てる, ～を避ける"
negotiate,交渉する,"中止する、つるす, 先行する, ～を無視する"
persist,持続する、残る,"かきたてる, OをCにする、変える, ～を忘れる"
multiply,増やす、増える、掛ける,"浸す、びしょぬれにする、吸収する, すえつける、乗る, ～を避ける"
conceive,想像する,"洗練する、磨きをかける, 退く, ～を無視する"
compensate,埋め合わせる,"刺激する、かき立てる, 驚かせる, ～を忘れる"
suspend,中止する、つるす,"先行する, する勇気がある, ～を避ける"
stir,かきたてる,"OをCにする、変える, 領域、範囲, ～を無視する"
soak,浸す、びしょぬれにする、吸収する,"すえつける、乗る, 連続、順番、順序, ～を忘れる"
refine,洗練する、磨きをかける,"退く, 預金、頭金、堆積物, ～を避ける"
arouse,刺激する、かき立てる,"驚かせる, 世論調査、投票, ～を無視する"
precede,先行する,"する勇気がある, 用心, ～を忘れる"
render,OをCにする、変える,"領域、範囲, 激怒、怒り, ～を避ける"
mount,すえつける、乗る,"連続、順番、順序, 式、公式、方法、秘訣、解決策, ～を無視する"
retreat,退く,"預金、頭金、堆積物, 筋、たくらみ、陰謀, ～を忘れる"
startle,驚かせる,"世論調査、投票, 範囲, ～を避ける"
dare,する勇気がある,"用心, 規範, ～を無視する"
sphere,領域、範囲,"激怒、怒り, 嫌悪, ～を忘れる"
sequence,連続、順番、順序,"式、公式、方法、秘訣、解決策, 妥協, ～を避ける"
deposit,預金、頭金、堆積物,"筋、たくらみ、陰謀, 監督者, ～を無視する"
poll,世論調査、投票,"範囲, 逆説, ～を忘れる"
caution,用心,"規範, （生物の）組織；ティッシュペーパー, ～を避ける"
rage,激怒、怒り,"嫌悪, 崩壊, ～を無視する"
formula,式、公式、方法、秘訣、解決策,"妥協, 構想、主導権、, ～を忘れる"
plot,筋、たくらみ、陰謀,"監督者, 織物、布, ～を避ける"
scope,範囲,"逆説, 宣伝、広告, ～を無視する"
norm,規範,"（生物の）組織；ティッシュペーパー, 頂上、頂点、首脳会議, ～を忘れる"
disgust,嫌悪,"崩壊, 群れ, ～を避ける"
compromise,妥協,"構想、主導権、, 疫病, ～を無視する"
supervisor,監督者,"織物、布, 急ぐこと, ～を忘れる"
paradox,逆説,"宣伝、広告, うたた寝, ～を避ける"
tissue,（生物の）組織；ティッシュペーパー,"頂上、頂点、首脳会議, 同盟国, ～を無視する"
breakdown,崩壊,"群れ, 下書き、草稿, ～を忘れる"
Initiative,構想、主導権、,"疫病, 光景, ～を避ける"
fabric,織物、布,"急ぐこと, 前提, ～を無視する"
